nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
babygirl hunter,TR,Challenger,592,2095,58.3,5.9,5.0,7.6,0.0030350975759085
SeDash,LAS,Challenger,574,2173,53.0,6.7,5.4,6.5,0.0030304633509864
qweasdqweasdqw,KR,Challenger,732,1375,53.8,6.3,4.8,7.6,0.0030273931278606
EFFECT1,KR,Challenger,590,2104,53.2,5.8,4.4,6.9,0.0030164454920683
pàràmörë Chill,PH,Challenger,655,1710,60.5,7.7,4.2,6.5,0.0030058780571843
China king,VN,Challenger,698,1533,29.2,3.1,4.0,5.6,0.0029815018772865
ARRAY123,EUW,Challenger,793,1140,54.5,6.6,5.0,7.5,0.002963368958094
Alluka,SG,Challenger,580,2156,55.4,8.0,5.0,7.2,0.0029519358585939
C 0 C 0 N U T,TH,Challenger,588,2112,60.8,7.5,4.9,9.0,0.002948403255828
Polio,LAS,Challenger,557,2248,51.0,5.3,4.7,7.4,0.0029465950726612
Polio,LAS,Challenger,557,2248,51.0,5.3,4.7,7.4,0.0029465762114531
Rose DK,LAS,Challenger,575,2170,54.8,7.1,6.7,6.4,0.0029448721339341
Genichiro,LAS,Challenger,567,2207,53.4,6.6,4.7,6.5,0.0029361620804208
STanos,TR,Challenger,585,2125,55.3,7.8,5.0,8.0,0.0029276578076325
fapek,EUNE,Challenger,679,1599,57.1,8.3,7.4,7.9,0.0029244473110968
Synnotic,LAS,Challenger,563,2224,59.7,6.8,5.7,7.2,0.0029080590742707
ICUT LOBOTOMY,SG,Challenger,559,2243,58.5,8.5,5.4,6.4,0.0028651554884246
Martin,TR,Challenger,548,2276,50.2,6.1,5.8,8.2,0.0028634332919914
Allocer,SG,Challenger,561,2233,55.1,9.1,6.3,7.8,0.0028600542471713
