,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Hide on bush,pleroma chronou,Wesley Warren Jr,GOOD GAME GG EZ,Jænsen,dajor25,Percy Magic,M1dLaoBan,Disabled Chattt,boiat nastana
1341,Iittle boss,EUW,GrandMaster,559,4363,55.8,8.0,4.3,5.9,0.0036262864064536,0.0007056463307306,0.0006775493196866,0.000243545459366,0.0002069631915748,0.00053282768314,0.0004035453993762,0.0002231558311591,0.0002398614661006,0.0001641541681038,0.0002290375572154
1342,LOUD tinowns2,BR,GrandMaster,725,3050,53.2,5.8,3.3,6.4,0.0036261474451271,0.0005166041602449,0.0005053083233335,0.0002638882767469,0.0003396535311535,0.0004055685958882,0.0006652461492907,0.0002594678292402,0.0002765568806296,0.0001293184879073,0.0002645352106919
1343,Martin Garrix,LAN,GrandMaster,602,3923,51.6,8.2,5.1,4.8,0.0036156799298622,0.0004929906230929,0.0005703437628903,0.0002793847132083,0.0002136772670955,0.000722772966573,0.0004058117488018,0.0002510918066433,0.0002715245115239,0.0001507305799951,0.0002573519500376
1344,yasuzinhu,BR,GrandMaster,653,3469,53.2,5.8,6.5,5.4,0.0036140653077581,0.0003987786038856,0.000769666081691,0.0002915136796786,0.0002207822289234,0.0005771629163274,0.0003793536029613,0.0002624624206704,0.0003044903018352,0.0001411659790768,0.000268689492708
1345,Lorenzx,BR,GrandMaster,722,3062,52.0,7.3,5.3,6.2,0.0036023893891692,0.0003588037898938,0.0006575059819023,0.0003220282681558,0.0002339453863184,0.0005941130576403,0.0003776018046119,0.0002872437749916,0.0003436504357687,0.0001333326040751,0.0002941642858107
1346,Eddluntor1,TW,Challenger,543,2304,54.3,6.4,3.5,5.2,0.0035756707356653,0.0002979851258633,0.0004674352432961,0.0003855584925273,0.0002587362618829,0.0005673045239567,0.0003579795564542,0.0003372046160346,0.0004328415672247,0.0001205596142648,0.0003500657341603
1347,Calcasey,OCE,GrandMaster,588,4081,54.3,4.3,3.9,9.2,0.0035750738702923,0.000542482280141,0.0005805248699566,0.000266513998888,0.000212242319983,0.0006648741564568,0.0004054067609103,0.000241318903176,0.0002603686262697,0.0001536496071812,0.0002476923473292
1348,Ân hận 1 đời,VN,Challenger,524,2425,56.1,5.1,4.8,10.0,0.0035663601006231,0.0003205667716756,0.0005168052039327,0.0003555194265418,0.0002703717462301,0.0005465834113768,0.0003805585500809,0.0003194144787367,0.0004023896108919,0.0001220133446978,0.0003321375564582
1349,Not Trying,LAN,GrandMaster,619,3741,52.7,7.2,4.5,6.6,0.003556582564542,0.0004255531616646,0.0007939726843089,0.0002716304332525,0.0002151601110849,0.000534086240759,0.0003870087621044,0.0002485733270037,0.0002830649716878,0.0001449046633067,0.000252628209369
1350,NS Callme,KR,Challenger,1093,263,55.7,4.7,5.1,6.2,0.003555152481845,0.0002139435465619,0.0002315492975928,0.0003889886130588,0.0007523524107498,0.000304186942951,0.0002879020613679,0.0004084539084482,0.0004254789405671,9.563693590589407e-05,0.0004466598246413
1351,Winds Of Summer,EUW,GrandMaster,538,4589,52.0,4.6,3.4,5.6,0.0035495114079137,0.0007915628072391,0.0006027359238056,0.0002176805760671,0.000210514150027,0.000374065887578,0.0005533365011543,0.000209734136302,0.0002165193789511,0.0001648911359673,0.0002084709108217
